type,firstName,secondName,lastName,secondLastName,targetSpbviCode,Comentario
"""""","""CARLOS""","""""","""MARTINEZ""","""""","""SRV""",Validar enviar vacio el campo Type
"""PERSON""","""""","""""","""MARTINEZ""","""""","""SRV""",Validar enviar vacio el campo FirstName
"""PERSON""","""CARLOS""","""""","""MARTINEZ""","""""","""SRV""",Validar enviar vacio el campo secondName
"""PERSON""","""CARLOS""","""""","""""","""""","""SRV""",Validar enviar vacio el campo lastName
"""PERSON""","""CARLOS""","""""","""MARTINEZ""","""""","""SRV""",Validar enviar vacio el campo secondLastName
null,"""CARLOS""","""""","""MARTINEZ""","""""","""SRV""",Validar enviar nulo el campo Type
"""PERSON""",null,"""""","""MARTINEZ""","""""","""SRV""",Validar enviar nulo el campo FirstName
"""PERSON""","""CARLOS""",null,"""MARTINEZ""","""""","""SRV""",Validar enviar nulo el campo secondName
"""PERSON""","""CARLOS""","""""",null,"""""","""SRV""",Validar enviar nulo el campo lastName
"""PERSON""","""CARLOS""","""""","""MARTINEZ""",null,"""SRV""",Validar enviar nulo el campo secondLastName
"""PERSON""","""CARLOS""","""""","""MARTINEZ""",null,"""SRV""",Validar enviar SRV en el campo targetSpbviCode
